# Legalization file
0 0      1 16      2295 144
12506
246   136.99461 636.8237    16 16
247   375.09332 1257.3341    14 16
248   371.41656 2216.7021    8 16
249   69.09101 597.199    6 16
250   800.7228 781.4614    6 16
251   578.2494 799.71594    8 16
252   296.36935 -0.6241751    8 16
253   534.86804 1427.3136    8 16
254   444.24597 676.43286    8 16
255   321.81982 1306.5468    12 16
256   1131.6691 2038.8723    42 16
257   515.8318 215.55257    8 16
258   427.40503 1197.9609    12 16
259   414.5461 1023.87476    8 16
260   875.77625 1543.8293    6 16
261   624.1445 1255.373    14 16
262   175.3389 1998.5201    8 16
263   692.6824 1370.424    8 16
264   1357.6362 1055.4495    24 16
265   1518.6577 1599.0759    4 16
266   278.8894 548.41724    6 16
267   281.89993 948.78406    2 16
268   881.15045 2054.9614    84 96
269   1122.5077 13.433197    84 96
270   704.0177 1997.5897    14 16
271   1450.1477 1717.6301    24 16
272   1270.2065 2164.9456    101 80
273   721.39136 252.06854    14 16
274   517.7604 1678.9124    8 16
275   693.1108 1585.3533    4 16
276   606.8025 1212.1991    8 16
277   281.25372 541.7815    2 16
278   1015.1947 711.2333    16 16
279   143.2113 554.65076    14 16
280   806.0969 624.5467    2 16
281   204.56201 1613.2228    14 16
282   680.2201 1543.0798    2 16
283   758.0027 534.0882    8 16
284   378.91174 1121.0259    6 16
285   199.8961 876.754    6 16
286   677.3579 2080.3027    12 16
287   326.73468 331.85574    6 16
288   1410.392 482.21515    2 16
289   380.81177 801.76086    16 16
290   876.3888 393.30353    6 16
291   380.82703 1578.7902    6 16
292   134.82263 1596.761    16 16
293   268.9043 1323.5483    12 16
294   776.1654 1417.6792    8 16
295   775.9629 1525.5905    6 16
296   572.76263 1420.2083    8 16
297   795.87244 269.70953    6 16
298   225.9718 446.53827    12 16
299   313.25616 805.7678    6 16
300   387.66733 2164.4917    16 16
301   640.81635 745.2663    6 16
302   522.7726 2176.14    14 16
303   328.8761 2036.2489    6 16
304   718.16187 1326.8655    8 16
305   773.06335 2100.6152    14 16
306   1009.4116 2049.5466    42 16
307   1460.1477 1736.6609    4 16
308   390.14697 375.9668    8 16
309   93.11603 609.77075    14 16
310   611.9065 1293.352    2 16
311   166.32956 2065.0486    8 16
312   756.12854 994.5773    6 16
313   97.03198 931.23376    4 16
314   815.62085 275.86188    6 16
315   231.11938 2116.1982    14 16
316   726.23566 1263.1832    6 16
317   170.46126 175.44269    24 16
318   399.51663 1167.2019    12 16
319   223.96764 741.9453    6 16
320   1258.6555 856.0184    16 16
321   468.53394 1489.8495    2 16
322   610.521 439.86087    2 16
323   528.9395 79.1015    12 16
324   242.35863 2074.6875    2 16
325   705.05273 1574.3915    6 16
326   122.880066 455.08282    8 16
327   311.95453 1553.3201    6 16
328   825.5744 625.5966    8 16
329   502.43115 1558.3024    8 16
330   546.78296 402.80566    12 16
331   435.206 2040.1462    16 16
332   657.16095 1337.2186    4 16
333   28.008383 1169.2292    6 16
334   694.9425 1061.962    16 16
335   178.46126 193.38281    8 16
336   113.4736 1339.9257    2 16
337   355.55386 738.92505    4 16
338   429.78876 170.53036    2 16
339   496.59845 2107.7114    4 16
340   617.8427 -0.24208689    14 16
341   193.05725 38.61696    4 16
342   410.2621 1546.637    2 16
343   786.62756 452.81235    12 16
344   186.45956 1611.6172    16 16
345   3.1523895 245.66196    24 16
346   768.90094 467.26868    12 16
347   192.05908 936.4287    18 16
348   299.6206 440.02902    4 16
349   307.99554 1546.8634    2 16
350   1065.217 252.42871    42 16
351   140.02612 687.14014    4 16
352   133.02036 863.1045    4 16
353   471.05774 1418.0322    6 16
354   478.9289 2250.3867    14 16
355   324.7911 1244.1772    4 16
356   92.3851 790.72125    2 16
357   445.37204 711.49414    8 16
358   610.34045 427.8009    6 16
359   156.9841 1468.2463    2 16
360   621.2533 179.84534    12 16
361   16.54155 3.549942    4 16
362   338.5948 181.93912    12 16
363   736.6449 1475.5692    6 16
364   783.2832 408.59543    14 16
365   1139.5096 1262.9805    6 16
366   -0.9546976 435.7185    20 16
367   576.2258 160.67665    8 16
368   566.4988 1032.2933    4 16
369   733.3291 1653.5137    4 16
370   1059.942 612.55164    12 16
371   728.98346 443.18915    8 16
372   871.77686 626.65045    14 16
373   75.02678 710.7656    4 16
374   66.83212 838.7173    6 16
375   499.00543 1181.5062    12 16
376   262.01788 642.7403    6 16
377   312.3037 1531.5352    16 16
378   28.216492 1054.2329    8 16
379   864.25415 2213.5952    14 16
380   641.5137 1651.1653    8 16
381   622.6766 902.47046    26 16
382   848.0812 1008.8733    26 16
383   780.50055 1101.3333    10 16
384   360.5121 2263.2776    6 16
385   871.86865 2190.0613    14 16
386   105.886856 785.6398    8 16
387   1397.4441 782.2457    12 16
388   828.422 2060.5376    14 16
389   288.03952 630.6114    12 16
390   116.88486 571.0038    6 16
391   753.9481 1494.201    6 16
392   710.09216 1524.7731    6 16
393   835.4359 1506.3892    4 16
394   228.53287 1596.809    16 16
395   456.46973 96.95122    14 16
396   713.7123 2020.2075    6 16
397   838.5222 64.99343    14 16
398   1132.0532 2181.942    72 112
399   162.19293 1394.9255    14 16
400   231.65875 464.55502    6 16
401   1215.9384 2087.2856    16 16
402   376.59503 485.1886    14 16
403   692.35156 2035.4133    6 16
404   216.70499 1396.6826    12 16
405   674.71497 1455.3843    8 16
406   416.81454 1447.821    8 16
407   404.23486 928.8661    6 16
408   327.50116 2173.7288    6 16
