# Legalization file
0 0      1 16      2295 144
911
0   405.866 1832.63    9 9
1   2030.18 1519.6    12 12
2   405.866 1832.63    9 9
3   1723.39 1472.03    12 12
4   405.866 1832.63    9 9
5   2030.18 1519.6    12 12
6   86.2117 1427.21    12 12
7   2030.18 1519.6    12 12
8   1953.93 1754.6    6 6
9   405.866 1832.63    9 9
10   1714.26 1939.67    9 9
11   1953.93 1754.6    6 6
12   798.891 481.857    6 6
13   520.9 530.572    4 4
14   128.254 1503.16    11 11
15   520.9 530.572    4 4
16   1953.93 1754.6    6 6
17   1953.93 1754.6    6 6
18   1723.39 1472.03    12 12
19   1723.39 1472.03    12 12
20   2108.95 1354.66    12 12
21   1253.13 350.277    9 9
22   2030.18 1519.6    12 12
23   2108.95 1354.66    12 12
24   129.134 1420.82    9 9
25   2108.95 1354.66    12 12
26   809.464 1350.04    9 9
27   2108.95 1354.66    12 12
28   1253.13 350.277    9 9
29   1253.13 350.277    9 9
30   86.2117 1427.21    12 12
31   86.2117 1427.21    12 12
32   1253.13 350.277    9 9
33   128.254 1503.16    11 11
34   129.134 1420.82    9 9
35   1988.23 71.294    15 15
36   1723.39 1472.03    12 12
37   457.61 1943.09    10 10
38   86.2117 1427.21    12 12
39   668.809 1206.8    40 40
40   596.404 1064.89    45 45
41   1048.74 522.35    25 25
42   1654.38 1510.08    31 31
43   1401.39 570.099    48 48
44   200.801 1073.98    36 36
45   1692.2 1485.9    31 31
46   1128.45 1660.29    35 35
47   1739.95 1458.67    48 48
48   637.123 1287.76    41 41
49   1065.16 595.042    32 32
50   1067.19 550.762    32 32
51   289.797 1504.5    41 41
52   1245.83 701.47    45 45
53   1066.49 881.204    32 32
54   1061.15 722.416    42 42
55   1065.94 701.153    32 32
56   1058.21 855.6    41 41
57   289.797 1504.5    41 41
58   1197.74 704.792    32 32
59   1059.05 903.842    32 32
60   342.822 1199.74    25 25
61   531.117 1542.83    52 52
62   689.275 1106.35    54 54
63   1905.63 796.831    40 40
64   1763.3 1116.74    46 46
65   1006.25 1683.87    60 60
66   1070.96 631.557    32 32
67   586.657 1290.69    44 44
68   1037.93 1358.89    53 53
69   1105.54 1363.8    54 54
70   682.95 1249.58    37 37
71   1355.29 1470.39    63 63
72   1554.98 663.774    37 37
73   1371.99 733.779    54 54
74   1061.41 574.141    35 35
75   1100.99 720.066    32 32
76   907.364 1267.91    50 50
77   1720.82 1666.97    62 62
78   1164.22 735.173    49 49
79   1172.14 1521.77    53 53
80   1165.09 672.359    42 42
81   943.02 1683.78    64 64
82   378.349 1337.9    64 64
83   376.292 1164.35    36 36
84   1288.66 656.941    51 51
85   825.411 1338.75    58 58
86   1188.84 569.611    56 56
87   1469.11 772.347    48 48
88   1624.4 1144.02    51 51
89   1901.65 840.225    30 30
90   1407.09 1280.48    37 37
91   1413.88 795.144    48 48
92   1649.01 1545.27    49 49
93   1386.16 1677.44    48 48
94   1676.21 1142.09    53 53
95   738.619 1290.98    47 47
96   1382.27 1629.02    48 48
97   332.3 1342.41    53 53
98   787.221 1199.89    43 43
99   1554.91 626.032    37 37
100   1059.34 804.233    47 47
101   274.617 1207.06    44 44
102   728.95 1179.04    42 42
103   1115.99 904.757    58 58
104   272.865 1439.15    54 54
105   496.903 1102.91    31 31
106   1371.12 898.361    51 51
107   1118.17 787.869    62 62
108   1463.68 818.136    74 74
109   1732.58 1147.78    56 56
110   1050.64 1092.6    41 41
111   1524.16 916.046    46 46
112   490.414 1347.52    37 37
113   1079.41 1327.88    42 42
114   1302.78 603.916    56 56
115   669.524 1157.52    40 40
116   1663.09 1668.2    43 43
117   1503.76 1332.76    41 41
118   748.18 1129.1    43 43
119   1266.75 797.253    46 46
120   1315.12 1559.37    62 62
121   948.609 1267.62    37 37
122   381.668 1234.91    46 46
123   1540.77 1569.43    43 43
124   723.398 1211.98    53 53
125   636.264 1236.77    49 49
126   1598.2 944.56    42 42
127   1117.47 863.731    40 40
128   376.897 1281.65    55 55
129   1226.95 771.285    29 29
130   1086.34 917.965    33 33
131   774.054 1063.76    64 64
132   1515.53 769.285    42 42
133   1126 1317.12    56 56
134   731.082 1467.92    36 36
135   1109.95 607.495    51 51
136   1213.85 757.54    62 62
137   782.389 1286.13    54 54
138   1052.77 757.651    41 41
139   1064.02 810.735    33 33
140   766.263 1465.21    40 40
141   1049.64 935.164    47 47
142   1494.05 887.611    45 45
143   1638.6 906.186    50 50
144   1541.25 1313.63    43 43
145   1247.9 627.317    33 33
146   1128.69 740.34    42 42
147   1173.98 547.392    34 34
148   1109.91 574.925    42 42
149   1247.21 658.337    42 42
150   1525.47 727.78    40 40
151   1397.22 1361.5    35 35
152   1417.62 844.709    43 43
153   591.714 1222.83    53 53
154   1546.44 1474.14    30 30
155   417.255 1196.56    28 28
156   1907.44 986.029    27 27
157   533.674 1442.89    32 32
158   1115.41 543.2    42 42
159   1558.37 480.618    94 94
160   1477.22 727.518    44 44
161   1103.8 656.896    53 53
162   327.337 1463.16    43 43
163   1792.79 751.425    38 38
164   1162.24 626.701    43 43
165   777.513 1344.99    32 32
166   1433.21 1625.71    93 93
167   1790.03 794.323    29 29
168   1164.09 879.708    34 34
169   1156.32 582.338    33 33
170   1207.62 624.57    34 34
171   1150.57 1107.39    26 26
172   1106.62 844.961    33 33
173   1241.66 1331.68    45 45
174   1174.45 797.819    33 33
175   592.041 1497.55    33 33
176   1624.04 1410.41    46 46
177   552.585 1408.05    34 34
178   1595.4 648.542    42 42
179   1429.39 886.323    57 57
180   1686.95 837.853    36 36
181   1746.92 1219.18    28 28
182   908.56 1131.38    59 59
183   1047.19 1157.26    24 24
184   961.743 1151.22    57 57
185   1649.34 952.131    36 36
186   830.628 1136.06    72 72
187   1258.04 1410.21    31 31
188   835.922 1065.01    60 60
189   503.111 1321.71    33 33
190   1364.77 1359.72    35 35
191   1368.4 1162.3    42 42
192   1673.72 1036.66    48 48
193   976.82 1063.8    65 65
194   400.973 1478.62    35 35
195   1587.73 1401.7    27 27
196   680.34 1434.64    50 50
197   375.251 1076.44    41 41
198   556.105 1128.86    39 39
199   1558.45 883.294    64 64
200   1552.08 1690.32    25 25
201   1604.47 1514.89    46 46
202   1647.22 1058.53    25 25
203   1000.6 1130.11    56 56
204   1768.05 986.207    56 56
205   879.179 1079.36    33 33
206   435.707 1252.12    80 80
207   1265.76 903.297    52 52
208   1879.36 961.157    31 31
209   975.476 1207.21    24 24
210   1077.26 1198.18    47 47
211   1209.79 826.563    33 33
212   1623.83 685.681    68 68
213   1014.9 1084.1    29 29
214   895.326 1263.63    25 25
215   1406.46 1086.27    69 69
216   680.36 1391.53    45 45
217   1727.5 1006.46    35 35
218   1639.59 1193.04    58 58
219   960.976 1228.32    24 24
220   1301.43 1092.69    73 73
221   1741.4 789.727    38 38
222   1574.9 1152.09    50 50
223   177.804 1162.83    33 33
224   1483.55 927.275    27 27
225   183.599 1206.09    43 43
226   1654.62 1326.38    33 33
227   491.071 1380.18    33 33
228   1422.85 1202.99    37 37
229   363.205 1593.04    55 55
230   1369.48 1106.14    39 39
231   1339.38 846.233    47 47
232   1396.63 1313.21    50 50
233   346.228 1663.15    56 56
234   638.022 1064.8    52 52
235   1092.12 1005.75    37 37
236   1829.98 754.426    57 57
237   1470.36 1257.65    36 36
238   1450.79 1163.98    36 36
239   1416.01 1241.44    37 37
240   1252.76 587.416    53 53
241   571.185 1581.2    66 66
242   1424.87 741.833    51 51
243   547.086 1065.03    54 54
244   1613.07 837.567    42 42
245   1477.77 1092.1    28 28
246   1647.56 781.26    34 34
247   206.789 1261.21    38 38
248   1482.55 1053.08    32 32
249   645.291 1575.2    27 27
250   1221.51 717.047    37 37
251   733.445 1069.97    48 48
252   1055.99 631.189    37 37
253   460.409 1275.03    36 36
254   1820.49 997.001    80 80
255   1775.96 692.218    50 50
256   1211.47 826.912    32 32
257   1204.77 658.423    42 42
258   508.686 1513.23    49 49
259   1748.07 698.505    43 43
260   1494.78 1387.97    28 28
261   1095.07 762.799    37 37
262   1667.54 751.398    32 32
263   586.394 1440.3    45 45
264   1159.9 840.062    42 42
265   781.781 1181.69    29 29
266   1606.69 756.394    39 39
267   1431.14 1361.68    30 30
268   753.462 1411.14    50 50
269   1327.25 545.61    67 67
270   174.25 1114.85    43 43
271   177.819 1184.44    35 35
272   273.943 1291.01    32 32
273   1131.62 696.576    42 42
274   261.402 1255.52    44 44
275   1679.17 831.035    51 51
276   1622.56 738.284    29 29
277   1338.21 674.156    43 43
278   1030.95 1310.05    48 48
279   1782.13 954.164    30 30
280   1534.61 836.878    41 41
281   1309.35 1508.79    33 33
282   1774.44 894.167    53 53
283   601.471 1336.85    60 60
284   1595.4 1273.09    25 25
285   1491.94 1494.49    42 42
286   1313.54 1309.54    28 28
287   1471.37 1132.95    41 41
288   1566.34 749.82    36 36
289   1617.22 1014.12    50 50
290   395.436 1533.28    32 32
291   343.365 1729.44    52 52
292   1580.23 1037.43    44 44
293   1535.35 1236.32    33 33
294   894.498 1464.37    51 51
295   1774.48 1554.72    76 76
296   1443.39 1263.76    29 29
297   1340.21 1696.7    57 57
298   1416.56 1166.33    37 37
299   720.873 1157.23    32 32
300   1053.42 1061.57    33 33
301   1566.39 832.776    49 49
302   1142.61 1261.79    47 47
303   1093.1 1101.03    37 37
304   1398.03 1144.77    28 28
305   1333.34 1638.88    51 51
306   1344.76 1747.62    61 61
307   1250.94 508.869    60 60
308   1698.12 1266.58    62 62
309   1222.57 916.153    44 44
310   1501.67 1552.37    28 28
311   1608.64 1730.29    34 34
312   1091.58 1060.83    42 42
313   1223.48 1243.17    41 41
314   1572.22 1102.16    50 50
315   1534.48 1389.75    45 45
316   1329.1 934.726    35 35
317   1546.34 1501.11    51 51
318   1185.27 1324.62    55 55
319   430.56 1733.45    44 44
320   1602.06 1565.82    43 43
321   1505.17 1066.36    34 34
322   1583.01 1440.83    34 34
323   1311.64 801.223    40 40
324   1601.86 787.146    45 45
325   586.867 1291.54    37 37
326   724.931 1428.91    32 32
327   810.856 1469.96    25 25
328   1314.6 1421.97    27 27
329   1245.43 523.872    61 61
330   446.434 1521.8    30 30
331   1358.06 1400.67    60 60
332   305.591 1399.91    40 40
333   575.438 1355.65    27 27
334   1439.3 1433.8    29 29
335   344.697 1406.97    53 53
336   1101.33 1146.84    38 38
337   1057.49 670.011    38 38
338   1297.17 507.808    32 32
339   682.658 1340.86    48 48
340   1525.31 1264.53    40 40
341   1564.46 694.167    53 53
342   1310.84 1458.76    33 33
343   272.173 1380.69    28 28
344   804.936 1400.8    54 54
345   1622.5 1080.09    59 59
346   196.606 1316.37    48 48
347   1553.72 787.504    45 45
348   1556.94 1007.24    40 40
349   1037.53 1188.97    36 36
350   300.735 1405.56    28 28
351   1578.91 391.422    93 93
352   1313.82 1372.02    41 41
353   781.179 1245.24    36 36
354   838.858 1352.71    29 29
355   278.482 1355.49    28 28
356   1087.13 971.733    37 37
357   271.241 1405.91    28 28
358   1196.57 1334.95    33 33
359   1425.02 1008.84    44 44
360   301.298 1350.93    39 39
361   1454.77 1320.07    33 33
362   351.666 1159.02    34 34
363   1489.93 1428.92    33 33
364   1227.46 1114.83    31 31
365   1371.98 1202.95    48 48
366   353.753 1277.25    35 35
367   1550.37 1609.14    29 29
368   1477.39 952.398    50 50
369   777.043 1370.29    36 36
370   587.311 1532.43    40 40
371   1706.6 1081.39    59 59
372   99.5383 1331.89    35 35
373   1372.49 1247.27    41 41
