# Legalization file
2360 148   0.0 0.0     1.0 16.0
28146
1201   1495.118 1368.7747    14 16
1202   108.64622 941.3732    6 16
1203   1339.8984 1304.5835    6 16
1204   1635.0455 2248.204    10 16
1205   338.98468 651.5941    6 16
1206   1472.3931 253.11331    2 16
1207   544.55115 115.30756    14 16
1208   342.1516 1883.6924    12 16
1209   1826.2833 964.345    6 16
1210   203.9664 374.19214    6 16
1211   320.57782 1871.7385    6 16
1212   307.6598 1387.9531    10 16
1213   295.06287 1672.4248    12 16
1214   1719.7788 247.81795    14 16
1215   1347.5406 577.4241    8 16
1216   1178.9829 1166.1022    14 16
1217   1436.6113 1069.126    14 16
1218   1481.9861 1219.5405    8 16
1219   1753.2145 1246.4927    8 16
1220   782.4684 1750.7646    6 16
1221   20.601034 676.3041    8 16
1222   1537.2993 1682.629    14 16
1223   204.35286 103.90276    4 16
1224   1451.1807 666.4416    10 16
1225   438.05054 1445.5518    14 16
1226   554.3876 1504.2327    14 16
1227   923.02454 314.0656    8 16
1228   903.3062 1562.6666    12 16
1229   68.22647 1346.0784    8 16
1230   611.56067 1819.6206    14 16
1231   1006.7889 587.9872    8 16
1232   91.15118 773.9418    12 16
1233   330.91174 54.36348    8 16
1234   746.4457 1400.0984    18 16
1235   1178.0795 853.83655    14 16
1236   1131.9236 638.91614    8 16
1237   1026.6179 1412.8013    14 16
1238   1212.7625 971.08044    14 16
1239   1549.2922 2235.1924    8 16
1240   1487.4088 1743.5037    14 16
1241   1130.3984 106.24168    8 16
1242   1666.1799 1463.8455    8 16
1243   1260.0576 1239.7145    8 16
1244   267.25433 1367.1079    8 16
1245   506.09692 803.9447    12 16
1246   1406.1913 193.81714    14 16
1247   308.7564 423.0212    6 16
1248   1746.5741 889.5031    8 16
1249   1746.3132 1495.5813    8 16
1250   1336.2422 -2.7925768    14 16
1251   847.0737 2025.9202    6 16
1252   1383.3248 1208.8079    6 16
1253   1751.4746 2280.296    14 16
1254   900.38464 752.4698    14 16
1255   210.01337 1634.2155    18 16
1256   489.60962 2254.4956    8 16
1257   62.259247 538.5934    14 16
1258   837.5565 154.92615    8 16
1259   598.9613 1351.4072    14 16
1260   1680.845 1481.8475    8 16
1261   1393.3989 1991.404    6 16
1262   88.41545 140.5471    12 16
1263   1282.4496 43.78838    14 16
1264   1304.7559 1134.5117    2 16
1265   484.65295 1282.954    14 16
1266   234.59485 976.9227    6 16
1267   1791.4163 1196.969    8 16
1268   1032.751 1307.3323    8 16
1269   1752.8828 2031.9662    14 16
1270   1189.242 888.1609    14 16
1271   670.43396 1783.834    8 16
1272   414.43628 641.81836    12 16
1273   388.32736 1079.1481    8 16
1274   203.9664 344.87622    6 16
1275   957.5853 177.57614    8 16
1276   1654.6575 178.13727    8 16
1277   1061.1967 1410.6868    14 16
1278   1051.4861 1894.6273    14 16
1279   107.38337 1665.2616    8 16
1280   1606.2866 495.3614    14 16
1281   306.39844 336.54987    6 16
1282   567.3279 1068.9946    8 16
1283   180.64166 1166.3519    14 16
1284   478.1478 1934.4161    14 16
1285   1702.2867 1482.3931    14 16
1286   639.4287 1307.1626    14 16
1287   887.8302 2094.9507    14 16
1288   1050.7751 442.62402    14 16
1289   1130.278 1682.108    8 16
1290   658.38086 2023.5815    10 16
1291   386.2376 1267.3494    6 16
1292   847.71045 1675.9436    8 16
1293   670.9686 1429.1516    18 16
1294   475.1636 1188.9695    8 16
1295   173.6547 605.35474    6 16
1296   35.372726 790.3175    8 16
1297   512.7761 342.90405    14 16
1298   324.6724 1385.8685    8 16
1299   993.735 1644.4042    8 16
1300   1315.8151 1408.1171    6 16
1301   8.780213 1536.0232    8 16
1302   657.42487 1976.0403    18 16
1303   156.50768 17.98975    14 16
1304   395.91913 378.41162    8 16
1305   581.86035 416.32153    14 16
1306   1153.5281 1933.5792    8 16
1307   1774.7749 2269.5715    8 16
1308   1873.4265 1424.3751    14 16
1309   276.97427 1883.1523    8 16
1310   488.33112 342.4199    14 16
1311   588.8296 588.1173    12 16
1312   1798.3809 1356.3198    8 16
1313   806.6553 716.9204    12 16
1314   1202.4207 1069.616    2 16
1315   160.54077 939.4482    8 16
1316   1595.4856 533.5665    8 16
1317   1358.5641 8.806793    8 16
1318   1769.8843 232.581    8 16
1319   1837.2686 226.46008    8 16
1320   1392.0645 1517.218    8 16
1321   1790.765 2329.8616    8 16
1322   1502.1943 608.1373    8 16
1323   1796.8091 910.33527    6 16
1324   402.81305 1211.5002    6 16
1325   695.0217 672.1742    8 16
1326   333.7947 393.42346    6 16
1327   1051.4728 366.8457    14 16
1328   1061.5544 2102.1284    12 16
1329   1175.9279 543.2345    14 16
1330   971.1665 617.6527    14 16
1331   776.6261 48.8239    8 16
1332   1704.2078 2156.1758    14 16
1333   257.99792 1307.7444    6 16
1334   1309.4465 1178.7654    6 16
1335   1011.1508 1454.826    14 16
1336   172.62854 568.2921    6 16
1337   359.02173 1161.7219    14 16
1338   405.56415 261.7212    6 16
1339   1228.9937 1317.9604    6 16
1340   766.34485 589.7565    8 16
1341   77.49293 920.6466    12 16
1342   138.3706 653.2483    6 16
1343   212.5604 237.74335    6 16
1344   269.1136 926.4972    6 16
1345   860.41425 1425.7761    8 16
1346   1140.3682 1897.7134    14 16
1347   764.5787 1732.8972    6 16
1348   1337.7202 1847.2136    6 16
1349   455.42517 2183.2559    12 16
1350   1726.5593 2214.3296    8 16
1351   1484.414 2242.5225    14 16
1352   214.64365 2131.198    6 16
1353   1620.8105 1834.678    14 16
1354   1697.9457 1420.3667    8 16
1355   1175.1001 480.17563    18 16
1356   1270.7964 2066.5454    18 16
1357   229.18112 2230.938    10 16
1358   161.09451 2334.5654    6 16
1359   1855.1077 1641.2014    14 16
1360   1138.4055 736.7293    14 16
1361   1017.87634 45.214233    14 16
1362   399.1939 1820.2004    14 16
1363   1493.0979 322.13422    8 16
1364   1768.2363 1711.5182    8 16
1365   1016.35425 1546.6434    8 16
1366   752.0234 643.2981    14 16
1367   1800.7844 443.09293    8 16
1368   1754.7214 1061.5482    8 16
1369   1849.1372 2228.0828    8 16
1370   194.25226 1410.6093    8 16
1371   1812.5394 957.36    6 16
1372   1576.0854 1992.2308    14 16
1373   56.733047 1500.4014    14 16
1374   5.465988 1293.5131    18 16
1375   1553.5471 1982.8923    14 16
